sense ID	lemma	variant	POS	comment
246	bać się pokazać na oczy	1	1	brak danych <##nDD> <##VLC: ST>
614547	dichromian sodu	1	2	##K: specj. {##L: http://pl.wikipedia.org/wiki/Dichromian_sodu} <##nDD>
508	brać stronę	1	1	##K: og. ##D: popierać kogoś. [##W: Nie mieli oni dzieci, ale Joanna opiekowała się dziećmi Henryka z jego pierwszego małżeństwa – podczas sprzeczek Henryka z synem, zawsze brała stronę przyszłego Henryka V Lancastera.] [##W: W dyskusjach z rodakami pozytywnie nastawionymi do Rosjan, brał stronę polską.] <##nDD> <##VLC: CZ>
509	brać do serca	1	1	brak danych <##nDD> <##VLC: CZ>
510	brać do siebie	1	1	brak danych <##nDD> <##VLC: CZ, ST>
512	brać na rozum	1	1	brak danych <##nDD> <##VLC: CZ>
63744	wertep sufozyjny	1	2	##K:  ##D: . [##P: ] {##L: } <##nDD>
954	czynić coś złego	1	1	brak danych <##nDD> <##VLC: CZ>
1157	dokonać życia	1	1	brak danych <##nDD> <##VLC: PRd>
1158	dokonać żywota	1	1	brak danych <##nDD> <##VLC: PRd>
1244	dorzucić swoje trzy grosze	1	1	brak danych <##nDD> <##VLC: AK>
1408	dwadzieścia cztery godziny	1	2	##K:  ##D: . [##P: ] {##L: } <##nDD>
1481	działać na nerwy	1	1	brak danych <##nDD> <##VLC: DZn, ZD>
1482	działać w złej wierze	1	1	brak danych <##nDD> <##VLC: CZ>
1489	działanie matematyczne	1	2	##K:  ##D: . [##P: ] {##L:} <##nDD>
1519	dzień i noc	1	2	##K:  ##D: . [##P: ] {##L: } <##nDD>
1521	dzień wolny	1	2	##K:  ##D: . [##P: ] {##L: } <##s> <##nDD>
1540	dzieło poetyckie	1	2	##K: og. ##D: tekst dowolnych rozmiarów o charakterze poetyckim, wierszowanym. <##nDD>
17605	jednostka masy	1	2	##K:  ##D: . [##P: ] {##L: } <##nDD>
652870	kasza gryczana	2	2	##K: pot. ##D: porcja kaszy gryczanej; określona ilość kaszy gryczanej, zazwyczaj papierowa torebka, woreczek lub papierowe pudełko. [##P: Dzisiaj zauważyłem w moim spożywczym dwie kasze gryczane w porządnie obniżonej cenie, a potem okazało się, że są przeterminowane.] <##nDD>
1996	grać komedię	1	1	brak danych <##nDD> <##VLC: CZ>
2299	istota ludzka	1	2	##K:  ##D: . [##P: ] {##L: } <##nDD> ##A1: 0
3081	lać łzy	1	1	##K: książk. ##D: reagować na coś płaczem, najczęściej pod wpływem bólu lub silnych emocji. [##P: Kobieta, będąc już na skraju załamania, lała łzy po każdym telefonie z odmowną wiadomością.] <##nDD> <##VLC: CZ>
3104	leczenie zwierząt	1	2	##K: ##D: . [##P: ] <##nDD>
3175	linia frontu	1	2	##K:  ##D: . [##P: ] {##L: } <##nDD>
3176	linia kolejowa	1	2	##K: og. ##D: element sieci kolejowej składający się z jednego, dwóch lub kilku torów kolejowych łączących punkty początkowy i końcowy (będące stacjami końcowymi lub węzłowymi). [##P: ] {##L: http://pl.wikipedia.org/wiki/Linia_kolejowa} <##nDD>
629655	dukla wiertnicza	1	2	##K: specj. ##D: szybik głęboki na 8 m, w którym umieszcza się rurę kierowniczą i części przewodu <##nDD>
3350	matka i ojciec	1	2	##K:  ##D: . [##P: ] {##L: } <##nDD>
3355	mąż i żona	1	2	##K: og. ##D: para małżeńska, małżeństwo. <##nDD>
3436	mieć wzgląd	1	1	brak danych <##nDD> <##VLC: CZ>
3445	miejsce odosobnienia	1	2	##K:  ##D: . [##P: ] {##L: } <##nDD>
