type	first_word	first_word_lemma	first_word_id	second_word	second_word_lemma	second_word_id	full_mwe	full_mwe_lemma	sentence
VERB+ADP	wpadam	wpadać	11	na	na	12	wpadam na	wpadać na	– Mógłbym Mógł by m też lokować ciasteczka w filmach – wpadam na kolejny pomysł .
VERB+PRON	znajduje	znajdować	2	się	się	3	znajduje się	znajdować się	Obecnie Apoń znajduje się pod dozorem policyjnym , toczy się przeciwko niemu postępowanie przygotowawcze .
VERB+NOUN	pełniła	pełnić	38	rolę	rola	39	pełniła rolę	pełnić rola	Środkowa zaś część obudowy imitowała radio : chromowane listewki na naciągniętej materii maskowały rzekomo ukryte pod spodem głośniki , a metalowa sylwetka drapacza chmur z iglicą ( w rodzaju Pałacu Kultury ) z czerwoną gwiazdką na czubku niby pełniła rolę wysmukłej , pionowej skali z kontrolną lampką u szczytu .
ADJ+NOUN	trzymająca	trzymać	13	władzę	władza	14	trzymająca władzę	trzymać władza	Gdy półtora roku temu sąd skazywał Lwa Rywina , potwierdził : była grupa trzymająca władzę .
PRON+VERB	się	się	54	zrobił	zrobić	55	się zrobił	się zrobić	Zwyrol nie może odżałować , że Piękniś odebrał mu okazję do małej napierdalanki , przecież to była wyraźna prowokacja , można było frajera nauczyć , jak się chodzi po ulicach i komu w pierwszej kolejności należy ustępować , nauczyłby nauczył by go , kurwa , kodeksu chodnikowego , praw pierwszeństwa przejścia , Piękniś coś się zrobił za łagodny ostatnimi czasy , może trzeba będzie zmienić kompanię .
VERB+PRON	zdecydował	zdecydować	12	się	się	13	zdecydował się	zdecydować się	Dodał , że kilka dni temu chcąc przekonać sąd do swoich racji zdecydował się jeszcze raz wyrobić pieczątkę na swoje nazwisko z tytułem komendanta oddziału egzekucyjnego SS .
VERB+ADP	wejdzie	wejść	6	w	w	7	wejdzie w	wejść w	Trudno stwierdzić , kiedy nowa ustawa wejdzie w życie .
VERB+PRON	wziął	wziąć	7	się	się	8	wziął się	wziąć się	Paskudna kontuzja przerwała jego karierę piłkarską , wziął się za trenerkę , i nie myślał , że będzie jeszcze piłkarzem i to w Stanach Zjednoczonych !
VERB+PRON	liczą	liczyć	1	sobie	siebie	2	liczą sobie	liczyć siebie	Parlamentarzyści liczą sobie od 12 do 15 lat , pochodzą z czeskiego Hradka , niemieckiego Zittau oraz Bogatyni , Porajowa i Sieniawki .
VERB+PRON	oburzył	oburzyć	22	się	się	23	oburzył się	oburzyć się	"Wczoraj w rzadkim geście krytyki wobec polityków "" najważniejszy wojskowy Sojuszu "" , przewodniczący Komitetu Wojskowego NATO gen . Klaus Naumann , oburzył się na "" przywódców państw członkowskich "" , którzy w rozmowach z Miloszeviciem gwarantują , że "" pewne rzeczy się nie zdarzą "" ."
PART+VERB	nie	nie	3	ma	mieć	4	nie ma	nie mieć	Pobalujemy dzisiaj , nie ma co .
VERB+PRON	starając	starać	10	się	się	11	starając się	starać się	- A nic takiego ważnego , proszę pani - wybąkał starając się ukryć pod wiatrówką odlew .
VERB+PRON	pożegnali	pożegnać	4	się	się	5	pożegnali się	pożegnać się	Członkowie ścisłego zarządu fundacji pożegnali się i odłożyli słuchawki .
