przyjąć do wiadomości	- Nasi koledzy nie chcą przyjąć do wiadomości , że jest inaczej , niż miało być . . .
staną przed sądem	Były szef szamotulskiej prokuratury , pani prokurator i pracownica sekretariatu prokuratury staną przed sądem za ukrywanie dokumentów i fałszowanie statystyk .
przyszedł na świat	22 . 05 . 1859 przyszedł na świat Conan Doyle , który stworzył Sherlocka Holmesa .
Bierzemy pod lupę	- Bierzemy pod lupę firmy handlujące długami szpitali - zapowiedział minister zdrowia Mariusz Łapiński .
usiedzieć na miejscu	- Bardzo dobry człowiek - odpowiedział gorąco i patrzył na Zośkę , która nie mogła usiedzieć na miejscu , wyręczyła Jaskólską w nalewaniu herbaty , pooglądała książki leżące na starej komodzie , podkręciła lampy , obejrzała szydełkową serwetę , jaką była nakryta maszyna do szycia , przygładziła dzieciom włosy i kręciła się po izbie jak fryga .
weszła w życie	Najnowsza ustawa , która weszła w życie w maju 2004 roku , precyzuje zasady udzielania tego typu pomocy oraz kryteria dochodowe , które muszą być spełnione , ale była ona bezpłatna - wyjaśnia Magdalena Gościniewicz , zastępca dyrektora Miejskiego Ośrodka Pomocy Rodzinie w Kielcach .
wchodzących w skład	Trwają już negocjacje z prezesami spółek wchodzących w skład ŚFUP-u .
robiące na drutach	Z nastaniem późnojesiennych chłodów na targu pojawiły się kobiety robiące na drutach bądź dziergające na szydełku z grubej włóczki skarpety lub papcie .
doszli do wniosku	Dopiero 3 kwietnia 1968 roku w Duke University , Irwin Fridovich i Joe McCord badający redukcję cytochromu c przez oksydazę ksantynową doszli do wniosku , że redukcja ta nie jest następstwem bezpośredniego kontaktu obu białek , lecz zachodzi za pośrednictwem uwalnianego przez oksydazę ksantynową wolnego rodnika - anionorodnika ponadtlenkowego .
zwrócił się z prośbą	Darek P . widząc , że jego zeznania nie przyniosły żadnego skutku , a Komor chodzi na wolności , sprzedaje majątek i dalej prowadzi swoje lewe interesy , zwrócił się z prośbą o pomoc do dziennikarzy .
dają się we znaki	Do 23 wzrosła wczoraj liczba ofiar śmiertelnych ulewnych deszczów , które od kilku dni dają się we znaki mieszkańcom południowo - zachodniej Japonii .
pozostawione same sobie	Tak do końca nie byłem był em tego pewien : co jak co , ale paliwa rakietowe wydzielają ogromną ilość energii i chyba byłyby były by w stanie , odpowiednio długo pozostawione same sobie , przepalić cienki w tym miejscu pancerz .
staniesz po stronie	Głos wywróżył , że w pracy " staniesz po stronie przełożonych " .
wpadam na pomysł	Ale nie widzę , więc wpadam na pomysł , by zresetować swój telefon .
ma do czynienia	TP chce więc od razu przetestować w sądzie , czy ma do czynienia z organem właściwie umocowanym , czy też nie .
wejdą w życie	Jednak zmiany , jeśli zostaną zaakceptowane przez Sejm , a później Senat i prezydenta , wejdą w życie najwcześniej za półtora roku .
miał niewyparzony język	Facet był najwyraźniej nieco konfliktowy , miał niewyparzony język , więc mógł kiedyś powiedzieć słowo za dużo .
jesteśmy w stanie	Jednak na podstawie dostępnych faktów wciąż nie jesteśmy w stanie powiedzieć , jakie były motywy uprowadzenia , dopóki porywacze się z nami nie skontaktują .
zdecyduje się udzielić kredytu	( Plafon oznacza , że rządowy ubezpieczyciel kredytu - w tym wypadku COFACE - udzieli gwarancji , o ile któryś z dwóch banków francuskich , z jakimi zawarł umowy Bank Handlowy , zdecyduje się udzielić kredytu ) .
dojść do wniosku	Porównując tempo sprzedaży krajowej z tempem eksportu można jedynie dojść do wniosku , iż wpływ eksportu na wzrost sprzedaży ogółem w krajach Unii był w WP jedynie nieco większy niż w MSP .
postawione w stan	Inne - kupione - zostały postawione w stan likwidacji .
będzie w stanie	Określeń jest wiele - pluskwa milenijna , problem roku 2000 ( PR 2000 ) , Y2K - ale wszystkie oznaczają jedno : o północy z 31 grudnia 1999 na 1 stycznia 2000 wiele setek milionów urządzeń elektronicznych na całym świecie może przestać działać , bo nie będzie w stanie poprawnie odczytać daty .
doprowadzać do rozpaczy	Z drugiej strony , wódz armii nacierającej miał wówczas dylemat , gdyż ta sama doktryna pouczała , żeby nie doprowadzać do rozpaczy słabszego nieprzyjaciela , zamykając mu wszystkie drogi odwrotu , bo wówczas budzi się w nim lew i może okazać się silniejszy .
ma podpisane umowy	Szpital , znany ze swej działalności w całej Polsce , ma podpisane umowy o udzielanie świadczeń zdrowotnych z kasami chorych : zachodniopomorską , branżową i lubuską .
wejściu w życie	Po wejściu w życie nowego prawa dewizowego , przedsiębiorstwa będą mogły kupować lub sprzedawać za granicą za złote .
oddanie do użytku	Mimo że budowa nowogardzkiego " Orlika " zakończyła się jeszcze w lipcu , oficjalne oddanie do użytku nastąpiło w miniony poniedziałek .
mające na celu	Spotkania , mające na celu właściwe przygotowanie się do rewitalizacji odbywają się cyklicznie we wszystkich miastach Polski , które przygotowują się do tego procesu .
starano się pogodzić	Drużyna wygrała rozgrywki NBA zaledwie w rok po okresie wrzawy , kiedy to starano się pogodzić z dominującą obecnością supergwiazdy Michael Jordana , a on sam borykał się z tym , w jaki sposób grać z mniej utalentowanymi kolegami klubowymi .
szansę wykazania się	Daje on młodym ludziom szansę wykazania się umiejętnościami organizatorskimi .
cierpiącego na zaburzenia	Z tego typu zaufania pacjenta cierpiącego na zaburzenia erekcji wyłączone są jednak pielęgniarki .
