	type	first_word	first_word_lemma	first_word_id	second_word	second_word_lemma	second_word_id	full_mwe	full_mwe_lemma	sentence
0	PART+VERB	nie	nie	1	mam	mieć	2	nie mam	nie mieć	Teraz nie mam nikogo innego na jego miejsce .
1	PART+VERB	nie	nie	6	ma	mieć	7	nie ma	nie mieć	- W Polsce od lat prawie nie ma roku bez epidemii - dodaje .
2	VERB+AUX	było	być	2	by	by	3	było by	być by	Nie byłoby było by w tym nic złego ( w końcu wszystko jest dla ludzi , a ksiądz to też mężczyzna ) gdyby nie to , że ksiądz to jednak ksiądz i komu jak komu , ale jemu właśnie nie bardzo wypada , tak przy ludziach .
3	PART+VERB	nie	nie	5	widzę	widzieć	6	nie widzę	nie widzieć	Inaczej mówiąc , kiedy pana nie widzę , jest mi lepiej .
4	PART+VERB	nie	nie	3	chcą	chcieć	4	nie chcą	nie chcieć	- Nasi koledzy nie chcą przyjąć do wiadomości , że jest inaczej , niż miało być . . .
5	ADP+NOUN	W	w	0	oczach	oko	1	W oczach	w oko	W oczach tych z naprzeciwka nie było także nienawiści , jeśli już , to fanatyzm ideowy , przeświadczenie , że trzeba dać wyraz swoim poglądom , protestować wobec niesprawiedliwości i bogactwu , a potem poszedł do swojego gabinetu i pracował do późnych godzin popołudniowych , patrząc od czasu do czasu na biwakujących studentów i połyskujące z dala , poza ogrodzeniem i bramą campusu , bagnety .
6	ADP+NOUN	na	na	30	rękę	ręka	31	na rękę	na ręka	- Na dodatek - wtrąciła się pani Roszko - kiedy rano zeszliśmy zeszli śmy na śniadanie , kelnerka , taka młoda siksa , stawiając dzbanek z wodą , chlapnęła mi na rękę .
7	ADP+PRON	ze	z	3	sobą	siebie	4	ze sobą	z siebie	Czuć się komfortowo ze sobą , być szczęśliwym , to nie znaczy udawać , że wszystko jest tak jak przed urodzeniem dziecka .
8	ADP+NOUN	do	do	3	udziału	udział	4	do udziału	do udział	- Zapraszamy wszystkich do udziału w naszej zabawie - mówi Małgorzata Kowalska .
9	VERB+AUX	zrobił	zrobić	3	em	być	4	zrobił em	zrobić być	I tak zrobiłem zrobił em .
10	ADP+PRON	za	za	4	sobą	siebie	5	za sobą	za siebie	Rozwój gospodarki indyjskiej pociągnął za sobą gospodarkę pakistańską , bo kraje te - zrośnięte blizną - zawsze na siebie oddziałują .
11	ADJ+PRON	ciągnąca	ciągnąć	3	się	się	4	ciągnąca się	ciągnąć się	Zapoczątkowana zostaje , ciągnąca się przez następne stulecia , fatalna tradycja mieszania się Rosji w wewnętrzne sprawy polskie , terroru , skłócania bądź przekupstwa , a przede wszystkim osłabiania państwa polskiego , likwidacji , a przynajmniej ograniczania tych sił społecznych , które mogłyby mogły by przeforsować ratujące to państwo reformy .
12	PART+VERB	nie	nie	12	mam	mieć	13	nie mam	nie mieć	A jak jeszcze słyszę , że mam bulić komuś kasę , której nie mam , żeby mógł jeszcze bardziej monopolizować rynek , to mnie krew zalewa .
13	ADP+ADJ	za	za	8	stosowne	stosowny	9	za stosowne	za stosowny	Włażąc na cudze łóżko , nie uważał nawet za stosowne zdjąć zakurzonych butów .
14	ADP+NOUN	W	w	0	czasie	czas	1	W czasie	w czas	W czasie obławy policjantom z Pieniężna udało się zatrzymać dwóch kłusowników .
15	ADP+NOUN	w	w	3	gardle	gardło	4	w gardle	w gardło	Pojawia się drapanie w gardle , wysypka , nagły spadek ciśnienia , duszność , trudności w oddychaniu , bóle brzucha .
16	ADP+NOUN	Na	na	0	koniec	koniec	1	Na koniec	na koniec	Na koniec owego wspaniałego dnia zaprosili go , by odwiedził ich w domu .
17	PART+VERB	Nie	nie	32	chcę	chcieć	33	Nie chcę	nie chcieć	"Pisarz Wojciech Kuczok wyznał w wywiadzie dla "" Przeglądu "" , iż z zasady nie bierze udziału "" w żadnych szopkach politycznych ani w wyborach "" , następnie wyjaśnił dlaczego : "" Nie chcę postępować wbrew sobie ."
18	PART+VERB	nie	nie	2	ma	mieć	3	nie ma	nie mieć	Projekt uchwały nie ma nic wspólnego z opracowaniem przyszłościowego , spójnego systemu cen , kierowanego przez mechanizmy ekonomiczne .
19	VERB+PRON	Daj	dać	1	się	się	2	Daj się	dać się	– Daj się uwieść .
20	PART+VERB	nie	nie	19	ma	mieć	20	nie ma	nie mieć	Należy przeanalizować to , kiedy firma zobowiązuje się odsprzedać prawo do pobytu oraz co proponuje w zamian , jeżeli nie ma miejsca w wybranym przez turystę ośrodku .
21	VERB+NOUN	ma	mieć	20	miejsca	miejsce	21	ma miejsca	mieć miejsce	Należy przeanalizować to , kiedy firma zobowiązuje się odsprzedać prawo do pobytu oraz co proponuje w zamian , jeżeli nie ma miejsca w wybranym przez turystę ośrodku .
22	PART+VERB	nie	nie	31	widzą	widzieć	32	nie widzą	nie widzieć	Stoeckmann docenił dotychczasowe postępowanie Waszyngtonu , mówiąc : - To , co w tym momencie jest wymagane , to umiarkowanie , i sądzę , że USA przeprowadzają bardzo dokładną analizę i nie widzą uniwersalnego rozwiązania , którego my też nie widzimy .
23	PART+VERB	nie	nie	39	widzimy	widzieć	40	nie widzimy	nie widzieć	Stoeckmann docenił dotychczasowe postępowanie Waszyngtonu , mówiąc : - To , co w tym momencie jest wymagane , to umiarkowanie , i sądzę , że USA przeprowadzają bardzo dokładną analizę i nie widzą uniwersalnego rozwiązania , którego my też nie widzimy .
24	PART+VERB	Nie	nie	1	wiem	wiedzieć	2	Nie wiem	nie wiedzieć	- Nie wiem , co się stało .
25	PART+VERB	nie	nie	26	mamy	mieć	27	nie mamy	nie mieć	Dawniej , jak mi w szkole bardzo dokuczali tym , że rodzice nie mieszkają razem , to miałem miał em czasem do nich żal , że nie mamy jednego wspólnego domu , tak jak u innych .
26	ADP+NOUN	na	na	16	wolności	wolność	17	na wolności	na wolność	Darek P . widząc , że jego zeznania nie przyniosły żadnego skutku , a Komor chodzi na wolności , sprzedaje majątek i dalej prowadzi swoje lewe interesy , zwrócił się z prośbą o pomoc do dziennikarzy .
27	PART+VERB	nie	nie	28	widzę	widzieć	29	nie widzę	nie widzieć	Normalnie nie prosiłbym prosił by m o sprostowanie tej notatki ale jak się Pan na pewno orientuje , nie cieszę się zbyt dobrą opinią wśród społeczeństwa emigracyjnego i nie widzę powodu dlaczego ta nieprawdziwa notatka miałaby miała by przedstawić mnie w fałszywym świetle .
28	PART+VERB	nie	nie	1	chciała	chcieć	2	nie chciała	nie chcieć	Ale nie chciała chodzić , udawała , że nic nie rozumie .
