orth	code	typ MWE (wszystko OK = poprawna grupa składniowa niebędąca ani nazwą własną, ani deskrypcją określoną)	intuicyjnie termin?	intuicyjnie MWLU? (wg testu Słowosieci)	komentarz	wyraz uwięziony / znaczenie uwięzione	termin (wg procedury Słowosieci)	parafraza (wg procedury Słowosieci)	decyzja (wg procedury Słowosieci i kolumn D, E, F)	czy typ strukturalny N+Adj
listopada 1914	0.0	błąd - niewłaściwie rozpoznany typ strukturalny								
czerwca 1942	1.0	błąd - niewłaściwie rozpoznany typ strukturalny								
czerwca 1979	[0. 1.]	błąd - niewłaściwie rozpoznany typ strukturalny								
maja 2000	0.0	błąd - niewłaściwie rozpoznany typ strukturalny								
marca 2005	0.0	błąd - niewłaściwie rozpoznany typ strukturalny								
2007 08	[0. 1.]	błąd - niewłaściwie rozpoznany typ strukturalny								
września 2007	0.0	błąd - niewłaściwie rozpoznany typ strukturalny								
maja 2011	0.0	błąd - niewłaściwie rozpoznany typ strukturalny								
19 stycznia	1.0	błąd - niewłaściwie rozpoznany typ strukturalny								
1 sierpnia	0.0	błąd - niewłaściwie rozpoznany typ strukturalny								
13 lis	[0. 1.]	błąd - niewłaściwie rozpoznany typ strukturalny								
1 kc	1.0	błąd - niewłaściwie rozpoznany typ strukturalny								
1002 kc	1.0	błąd - niewłaściwie rozpoznany typ strukturalny								
1011 kc	1.0	błąd - niewłaściwie rozpoznany typ strukturalny								
1793 roku	1.0	błąd - niewłaściwie rozpoznany typ strukturalny								
1794 roku	1.0	błąd - niewłaściwie rozpoznany typ strukturalny								
1866 roku	[0. 1.]	błąd - niewłaściwie rozpoznany typ strukturalny								
1867 roku	[0. 1.]	błąd - niewłaściwie rozpoznany typ strukturalny								
1869 roku	1.0	błąd - niewłaściwie rozpoznany typ strukturalny								
1880 roku	[0. 1.]	błąd - niewłaściwie rozpoznany typ strukturalny								
1882 roku	1.0	błąd - niewłaściwie rozpoznany typ strukturalny								
1883 roku	[0. 1.]	błąd - niewłaściwie rozpoznany typ strukturalny								
1890 roku	1.0	błąd - niewłaściwie rozpoznany typ strukturalny								
1895 roku	[0. 1.]	błąd - niewłaściwie rozpoznany typ strukturalny								
1899 roku	1.0	błąd - niewłaściwie rozpoznany typ strukturalny								
1901 roku	1.0	błąd - niewłaściwie rozpoznany typ strukturalny								
1909 roku	1.0	błąd - niewłaściwie rozpoznany typ strukturalny								
1932 roku	1.0	błąd - niewłaściwie rozpoznany typ strukturalny								
2010 roku	[0. 1.]	błąd - niewłaściwie rozpoznany typ strukturalny								
aberracji sferycznej	1.0	wszystko OK	TAK	RACZEJ TAK						
absorpcji jelitowej	1.0	wszystko OK	NIE	RACZEJ NIE						
ad astra	1.0	błąd - niepolska zbitka wyrazów								
ahistoryzmu metafilozoficznego	0.0	wszystko OK	NIE	RACZEJ NIE						
alfabetu greckiego	[0. 1.]	wszystko OK	TAK	TAK						
amerykański pisarz	0.0	wszystko OK	NIE	NIE						
amylazy ślinowej	1.0	wszystko OK	TAK	TAK						
anglosaksońskiej półsamogłoski	1.0	wszystko OK	NIE	NIE						
anus praeter	[0. 1.]	błąd - niepolska zbitka wyrazów								
archidiecezji krakowskiej	1.0	wszystko OK	NIE	NIE						
asesor in	1.0	błąd - niepolska zbitka wyrazów								
azotu amonowego	0.0	wszystko OK	TAK	TAK						
banderola akcyzowa	1.0	wszystko OK	NIE	RACZEJ NIE						
baptysterium merowińskim	[0. 1.]	wszystko OK	NIE	NIE						
bardzo interesujący	0.0	wszystko OK	NIE	NIE						
bawarskiego klubu	1.0	wszystko OK	NIE	NIE						
bawarskiej drużyny	1.0	wszystko OK	NIE	NIE						
belki poprzecznej	[0. 1.]	wszystko OK	NIE	RACZEJ NIE						
benzoesan benzylu	1.0	wszystko OK	TAK	TAK						
bezargumentowy funktor	1.0	wszystko OK	NIE	RACZEJ NIE						
bezciśnieniowej desorpcji	1.0	wszystko OK	NIE	RACZEJ NIE						
bezsmakową breją	1.0	wszystko OK	NIE	NIE						
beztłuszczowej masy	[0. 1.]	wszystko OK	NIE	NIE						
bezwodna hydrazyna	1.0	wszystko OK	TAK	TAK						
biegów długodystansowych	[0. 1.]	wszystko OK	NIE	NIE						
błędy ortograficzne	0.0	wszystko OK	NIE	NIE						
błoną presynaptyczną	1.0	wszystko OK	TAK	TAK						
błony bębenkowej	1.0	wszystko OK	TAK	TAK						
błony maziowej	[0. 1.]	wszystko OK	TAK	TAK						
błony surowiczej	1.0	wszystko OK	TAK	TAK						
boksie kwarantannowym	1.0	wszystko OK	NIE	RACZEJ NIE						
bosonogich rikszarzy	[0. 1.]	wszystko OK	NIE	NIE						
brak apetytu	0.0	wszystko OK	NIE	NIE						
brazylijskiego gwiazdora	0.0	wszystko OK	NIE	NIE						
