type	first_word	second_word
VERB+PRON	mam	nikogo
ADP+NOUN	Oprócz	tysięcy
NOUN+NOUN	tysięcy	traktorów
ADP+NOUN	dla	opozycji
ADJ+NOUN	najnowszą	techniką
ADP+NOUN	do	epoki
NOUN+NOUN	epoki	kamienia
NOUN+ADJ	kamienia	łupanego
ADP+NOUN	przed	decyzją
ADP+NOUN	o	podwyżce
NOUN+NOUN	władze	miasta
VERB+NOUN	poszukać	oszczędności
ADJ+NOUN	Miejskich	Wodociągach
ADP+NOUN	na	poziomie
ADP+NOUN	w	województwie
NOUN+ADJ	województwie	zachodniopomorskim
ADJ+NOUN	własny	strach
ADP+NOUN	po	nocy
ADJ+NOUN	przygasające	ogniska
VERB+NOUN	lokować	ciasteczka
ADP+NOUN	w	filmach
NOUN+ADJ	Muzyka	nagrywana
ADP+NOUN	do	półfinału
ADP+NOUN	po	zwycięstwie
ADP+NOUN	od	lat
VERB+NOUN	ma	roku
ADP+NOUN	bez	epidemii
NOUN+NOUN	część	obudowy
VERB+NOUN	imitowała	radio
ADJ+NOUN	chromowane	listewki
ADJ+NOUN	naciągniętej	materii
ADP+NOUN	pod	spodem
ADJ+NOUN	metalowa	sylwetka
NOUN+NOUN	sylwetka	drapacza
NOUN+NOUN	drapacza	chmur
ADP+NOUN	z	iglicą
ADP+NOUN	w	rodzaju
NOUN+NOUN	Pałacu	Kultury
ADJ+NOUN	czerwoną	gwiazdką
ADP+NOUN	na	czubku
ADJ+NOUN	pionowej	skali
ADJ+NOUN	kontrolną	lampką
ADP+NOUN	u	szczytu
ADP+NOUN	Na	pytanie
ADP+NOUN	o	zniszczenie
NOUN+NOUN	zniszczenie	dokumentu
NOUN+VERB	sąd	skazywał
VERB+NOUN	była	grupa
ADJ+NOUN	Nowego	Świata
VERB+PRON	odebrał	mu
ADJ+NOUN	małej	napierdalanki
ADJ+NOUN	wyraźna	prowokacja
NOUN+VERB	frajera	nauczyć
ADP+NOUN	po	ulicach
ADJ+NOUN	pierwszej	kolejności
NOUN+ADJ	kodeksu	chodnikowego
NOUN+NOUN	praw	pierwszeństwa
NOUN+NOUN	pierwszeństwa	przejścia
ADJ+NOUN	ostatnimi	czasy
VERB+NOUN	zmienić	kompanię
ADP+NOUN	na	niebie
ADJ+NOUN	polskiego	węgla
ADJ+NOUN	brytyjski	rynek
ADJ+NOUN	nowa	ustawa
ADJ+NOUN	prymitywnych	filmikach
NOUN+ADJ	filmikach	amerykańskich
NOUN+VERB	chamstwo	uważają
ADP+NOUN	za	siłę
ADJ+NOUN	Algierski	minister
NOUN+NOUN	minister	spraw
NOUN+ADJ	spraw	wewnętrznych
ADP+NOUN	na	miejsce
VERB+NOUN	dozorować	akcję
VERB+NOUN	pokazuje	stan
NOUN+NOUN	stan	rachunku
ADJ+NOUN	przyszłym	roku
VERB+PRON	przyjdzie	im
VERB+NOUN	Postał	chwilę
ADP+NOUN	pod	domem
ADP+NOUN	do	stacji
NOUN+NOUN	stacji	pogotowia
VERB+NOUN	nazwał	kierowników
NOUN+ADJ	ludźmi	szlachetnymi
ADJ+NOUN	pozbawionymi	odwagi
NOUN+VERB	przyszłość	należy
NOUN+NOUN	Właściciel	zamku
VERB+PRON	Zaangażowano	mnie
ADP+NOUN	w	celu
VERB+NOUN	miał	wspólników
ADP+NOUN	w	Banku
NOUN+ADJ	Banku	Prowincjonalnym
NOUN+VERB	Schizofrenik	izoluje
VERB+PRON	izoluje	się
ADP+NOUN	od	świata
ADJ+NOUN	innych	ludzi
VERB+PRON	szło	mi
ADP+NOUN	po	maśle
ADP+NOUN	zza	węgła
ADP+NOUN	w	końcu
ADP+NOUN	dla	ludzi
ADP+NOUN	przy	ludziach
ADJ+NOUN	Porośnięty	trawą
ADP+NOUN	do	odczytania
ADJ+NOUN	1996	roku
NOUN+VERB	roku	wyniosły
ADJ+NOUN	Powszechną	Agencję
NOUN+ADJ	Agencję	Informacyjną
VERB+NOUN	proszę	pani
ADP+NOUN	pod	wiatrówką
ADJ+NOUN	ścisłego	zarządu
NOUN+NOUN	zarządu	fundacji
VERB+NOUN	odłożyli	słuchawki
NOUN+VERB	czas	czytano
VERB+NOUN	czytano	wiersze
ADP+NOUN	w	zgodzie
NOUN+ADJ	wykładnią	ustanowioną
ADJ+NOUN	współczesnego	klasycyzmu
VERB+PRON	zmniejsza	się
ADP+NOUN	u	chorego
NOUN+NOUN	zaleganie	afektu
VERB+PRON	rozładowują	się
ADJ+NOUN	utrwalone	stereotypy
NOUN+ADJ	stereotypy	uczuciowe
ADJ+NOUN	Panującej	atmosferze
NOUN+VERB	atmosferze	uległa
NOUN+NOUN	obsada	maszynowni
ADP+NOUN	W	kinach
ADP+NOUN	na	salonach
ADJ+NOUN	inny	głos
ADJ+NOUN	tandetnego	filmu
NOUN+NOUN	praca	serca
VERB+PRON	normuje	się
ADJ+NOUN	wysokiej	trawie
NOUN+VERB	trawie	leżały
VERB+NOUN	leżały	setki
ADJ+NOUN	ludzkich	ciał
