mwe_type	first_word	first_word_id	second_word	second_word_id	mwe	sentence	is_correct	dataset_type	complete_mwe_in_sent	prediction
VERB+PRON	cieszą	13	się	14	cieszą się	"Zagospodarowane zostaną tereny w pobliżu pomnika Armii Poznań , które z różnych względów cieszą się dziś "" złą sławą "" ."	1	test	1	1
VERB+PRON	uśmiechał	26	się	27	uśmiechał się	Tamci podchwycili okrzyk , przestali tupać , pląsać , powymieniali ukłony , kordialne uściski rąk ; przybyły , w tużurku , siwy , z muszką , uśmiechał się ze zrozumieniem .	1	test	1	1
VERB+NOUN	brać	9	kredytów	10	brać kredytów	- Ale jak rozwijać produkcję , skoro nie warto brać kredytów , bo się ich nie spłaci ?	1	test	1	0
VERB+NOUN	rozdziera	11	szaty	12	rozdziera szaty	Jak dotąd lewica nie ma nic konkretnego do zaoferowania , tylko rozdziera szaty i utyskuje na brak jedności .	1	test	1	0
VERB+PRON	dzieje	2	się	3	dzieje się	W praktyce dzieje się tak w większości spraw rodzinnych i majątkowych .	1	test	1	1
PRON+VERB	się	5	pojawiać	6	się pojawiać	- Wkrótce w gruzowisku zaczęły się pojawiać kawałki dekorowanego reliefem piaskowca , które nijak nie pasowały do świątyni Hatszepsut - wspomina prof . Jadwiga Lipińska , od początku obecna w Deir el-Bahari .	1	test	1	1
VERB+PRON	powoływał	14	się	15	powoływał się	I zapowiada , że będzie przesłuchany były premier Leszek Miller , na którego wielokrotnie powoływał się w rozmowach z baronami paliwowymi jego przyrodni brat , Sławomir .	1	test	1	1
PRON+VERB	się	5	przekonał	6	się przekonał	Syn pana Bogdana raz sam się przekonał , jak wygląda opieka nad niepełnosprawnymi na porządnym zachodnioeuropejskim poziomie .	1	test	1	1
VERB+PRON	znajdują	2	się	3	znajdują się	Na listach znajdują się leki , do których częściowo dopłaca budżet państwa .	1	test	1	1
PRON+VERB	się	3	dowiedzieć	4	się dowiedzieć	Ale Krzysztof chciał się dowiedzieć więcej .	1	test	1	1
VERB+PROPN	mamy	9	pojęcia	10	mamy pojęcia	Może faktycznie są jakieś bioprądy , o których nie mamy pojęcia ?	1	test	1	1
VERB+PRON	zajmuje	13	się	14	zajmuje się	Od trzech lat w szwedzkim Saabie zespół kobiet , pracownic tej firmy , zajmuje się konsultacją projektów i testowaniem nowych modeli samochodów .	1	test	1	1
VERB+NOUN	wprowadzono	12	obowiązek	13	wprowadzono obowiązek	Rzecznik Praw Obywatelskich wystąpił w obronie inwalidów wojennych i wojskowych , którym wprowadzono obowiązek płacenia za pobyt w sanatoriach uzdrowiskowych .	1	test	1	1
VERB+PRON	zajęli	2	się	3	zajęli się	Jego usuwaniem zajęli się strażacy ze specjalistycznym sprzętem .	1	test	1	1
VERB+PRON	zwróciła	1	się	2	zwróciła się	Rada zwróciła się więc do głównego inspektora pracy .	1	test	1	1
VERB+PRON	Wyobraźmy	0	sobie	1	Wyobraźmy sobie	"Wyobraźmy sobie "" od wewnątrz "" etapy tej choroby , idąc za nicią przewodnią opisu umierania Sokratesa z Platońskiego Fedona ."	1	test	1	0
VERB+PRON	starać	5	się	6	starać się	Wodę z mieszkania należy jednak starać się wylać .	1	test	1	1
VERB+PRON	stać	9	się	10	stać się	By mąż stanu miary Churchilla mógł w świecie anglosaskim stać się wielkim przywódcą - konieczna jest wojna .	1	test	1	1
VERB+PRON	upora	7	się	8	upora się	- Czy jest szansa , że rząd upora się z korupcją własnej administracji , jeśli urzędnicy państwowi zarabiają trzy miliony ?	1	test	1	1
VERB+NOUN	dostała	15	zawału	16	dostała zawału	Wyborów jednak tu nie doczekała - na wieść , że jej syna próbowano otruć , dostała zawału serca .	1	test	1	0
VERB+PRON	Podpisuje	0	się	1	Podpisuje się	"Podpisuje się on jako "" Płk B . "" ."	1	test	1	1
VERB+PRON	stają	1	się	2	stają się	Narkotyki stają się coraz większą plagą wśród czeskiej młodzieży .	1	test	1	1
VERB+NOUN	bierze	3	udział	4	bierze udział	W akcji ratowniczej bierze udział około dwóch tysięcy osób .	1	test	1	1
VERB+PRON	stała	25	się	26	stała się	Mówi , że cała jego głuchota zeszła , jako mniejsza uciążliwość , na drugi plan , z czasem wręcz przestała być zauważana , z przypadłości stała się cechą - wyróżniającą , lecz nie zubażającą .	1	test	1	1
